# description=Truncated (no Omega_1_num): $m_\Delta = 700~\mathrm{MeV}$
# include_omega_1_num=False
# m_delta_mev=700.0
# g_delta_factor=2.0000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# residual_cutoff_mev=3000.0
# mu_min_mev=0.0
# mu_max_mev=900.0
# num_points=5000
# columns=mu_q_mev phi_mev delta_mev gap_mev phase_2sc omega_min_mev4 pressure_mev4 n_q_mev3 energy_density_mev4 cs2 success
1.278e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.296e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.314e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.332e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.350e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.368e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.386e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.404e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.422e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.440e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.458e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.476e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.494e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.512e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.530e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.548e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.566e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.584e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.602e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.620e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.638e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.656e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.674e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.692e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.710e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.728e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.746e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.764e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.782e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.800e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.818e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.836e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.854e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.872e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.890e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.908e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.926e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.944e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.962e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.980e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.998e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.016e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.034e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.052e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
