# mu_q_mev  pressure_mev4  energy_density_mev4
1.4573015852e+04 2.2857039579e+15 6.8577731010e+15
1.4883833664e+04 2.4869558667e+15 7.4617399202e+15
1.5201280695e+04 2.7059310653e+15 8.1189008801e+15
1.5525498334e+04 2.9441904564e+15 8.8339445039e+15
1.5856630989e+04 3.2034326248e+15 9.6119667366e+15
1.6194826144e+04 3.4855054599e+15 1.0458512250e+16
1.6540234430e+04 3.7924198145e+15 1.1379619984e+16
1.6893009691e+04 4.1263635910e+15 1.2381856674e+16
1.7253309053e+04 4.4897174350e+15 1.3472367793e+16
1.7621292991e+04 4.8850716252e+15 1.4658928056e+16
1.7997125406e+04 5.3152446200e+15 1.5949998033e+16
1.8380973691e+04 5.7833031169e+15 1.7354744048e+16
1.8773008811e+04 6.2925822566e+15 1.8883295764e+16
1.9173405379e+04 6.8467176517e+15 2.0546482307e+16
1.9582341729e+04 7.4496550859e+15 2.2356068540e+16
2.0000000000e+04 8.1056941097e+15 2.4283096227e+16
