# pipeline=quark_stars
# construction=with_maxwell
# m_sigma_mev=600.000000
# units=chemical potentials and sigma in MeV; densities in fm^-3; pressure and energy density in GeV fm^-3
# B0_mev4=5.806289137042e+08
# B0_gev_fm3=7.556822962283e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=mu_u_mev mu_d_mev mu_e_mev sigma_mev constituent_mass_mev n_u_fm-3 n_d_fm-3 n_e_fm-3 n_B_fm-3 pressure_gev_fm-3 energy_density_gev_fm-3
2.940e+02 3.591e+02 6.507e+01 3.558e+01 1.148e+02 2.615e-01 5.193e-01 1.211e-03 2.603e-01 7.542e-03 2.559e-01
2.940e+02 3.592e+02 6.520e+01 3.538e+01 1.141e+02 2.624e-01 5.211e-01 1.218e-03 2.612e-01 7.632e-03 2.568e-01
2.941e+02 3.594e+02 6.533e+01 3.517e+01 1.135e+02 2.633e-01 5.229e-01 1.225e-03 2.621e-01 7.724e-03 2.577e-01
2.941e+02 3.595e+02 6.546e+01 3.497e+01 1.128e+02 2.642e-01 5.247e-01 1.233e-03 2.630e-01 7.818e-03 2.586e-01
2.941e+02 3.597e+02 6.558e+01 3.476e+01 1.121e+02 2.651e-01 5.265e-01 1.240e-03 2.639e-01 7.913e-03 2.595e-01
2.942e+02 3.599e+02 6.571e+01 3.456e+01 1.115e+02 2.660e-01 5.283e-01 1.247e-03 2.648e-01 8.009e-03 2.605e-01
2.942e+02 3.600e+02 6.584e+01 3.435e+01 1.108e+02 2.669e-01 5.301e-01 1.254e-03 2.657e-01 8.108e-03 2.614e-01
2.942e+02 3.602e+02 6.597e+01 3.415e+01 1.101e+02 2.679e-01 5.319e-01 1.262e-03 2.666e-01 8.208e-03 2.623e-01
2.943e+02 3.604e+02 6.609e+01 3.394e+01 1.095e+02 2.688e-01 5.337e-01 1.269e-03 2.675e-01 8.310e-03 2.632e-01
2.943e+02 3.606e+02 6.622e+01 3.374e+01 1.088e+02 2.697e-01 5.356e-01 1.276e-03 2.684e-01 8.414e-03 2.642e-01
2.944e+02 3.607e+02 6.635e+01 3.353e+01 1.082e+02 2.706e-01 5.374e-01 1.284e-03 2.693e-01 8.520e-03 2.651e-01
2.944e+02 3.609e+02 6.648e+01 3.333e+01 1.075e+02 2.716e-01 5.392e-01 1.291e-03 2.703e-01 8.627e-03 2.660e-01
2.945e+02 3.611e+02 6.660e+01 3.312e+01 1.068e+02 2.725e-01 5.411e-01 1.299e-03 2.712e-01 8.737e-03 2.670e-01
2.945e+02 3.613e+02 6.673e+01 3.292e+01 1.062e+02 2.734e-01 5.429e-01 1.306e-03 2.721e-01 8.848e-03 2.679e-01
