# tag=combo1
# g_delta_factor=2.5000
# m_delta_mev=500.0
# lambda_3_factor=2.0000
# lambda_delta_factor=0.2500
# source=tov_resume_from_eos_file
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
1.489081e-06 1.194523e+08 1.554658e-02 3.000000e+01 4.207802e-01 1
1.608208e-06 1.263053e+08 1.643850e-02 3.000000e+01 4.294138e-01 1
1.736864e-06 1.337075e+08 1.740189e-02 3.000000e+01 4.378787e-01 1
1.875814e-06 1.416924e+08 1.844112e-02 3.000000e+01 4.461174e-01 1
2.025879e-06 1.502884e+08 1.955987e-02 3.000000e+01 4.540780e-01 1
2.187949e-06 1.593105e+08 2.073409e-02 3.000000e+01 4.617315e-01 1
2.362985e-06 1.681161e+08 2.188013e-02 3.000000e+01 4.691473e-01 1
2.552024e-06 1.757032e+08 2.286758e-02 3.000000e+01 4.765575e-01 1
2.756186e-06 1.806792e+08 2.351520e-02 3.000000e+01 4.844308e-01 1
2.976680e-06 1.831890e+08 2.384185e-02 3.000000e+01 4.934873e-01 1
3.214815e-06 1.862906e+08 2.424553e-02 3.000000e+01 5.041966e-01 1
3.472000e-06 1.949476e+08 2.537222e-02 3.000000e+01 5.160194e-01 1
3.749760e-06 2.143670e+08 2.789964e-02 3.000000e+01 5.269014e-01 1
4.049741e-06 2.432705e+08 3.166140e-02 3.000000e+01 5.349149e-01 1
4.373720e-06 2.768473e+08 3.603138e-02 3.000000e+01 5.398202e-01 1
4.723618e-06 3.101825e+08 4.036992e-02 3.000000e+01 5.423665e-01 1
5.101507e-06 3.413628e+08 4.442800e-02 3.000000e+01 5.433094e-01 1
5.509628e-06 3.682727e+08 4.793029e-02 3.000000e+01 5.431811e-01 1
5.950398e-06 3.882457e+08 5.052976e-02 3.000000e+01 5.423804e-01 1
6.426430e-06 4.012133e+08 5.221747e-02 3.000000e+01 5.412556e-01 1
6.940544e-06 4.104735e+08 5.342268e-02 3.000000e+01 5.401333e-01 1
7.495788e-06 4.216539e+08 5.487780e-02 3.000000e+01 5.392889e-01 1
8.095451e-06 4.402179e+08 5.729389e-02 3.000000e+01 5.388138e-01 1
8.743087e-06 4.660121e+08 6.065098e-02 3.000000e+01 5.385634e-01 1
9.442534e-06 4.970544e+08 6.469109e-02 3.000000e+01 5.383227e-01 1
1.019794e-05 5.303558e+08 6.902523e-02 3.000000e+01 5.379368e-01 1
1.101377e-05 5.617137e+08 7.310643e-02 3.000000e+01 5.373608e-01 1
1.189487e-05 5.853995e+08 7.618912e-02 3.000000e+01 5.366805e-01 1
1.284646e-05 6.029126e+08 7.846842e-02 2.972000e+01 5.356337e-01 1
1.387418e-05 6.253118e+08 8.138366e-02 2.929000e+01 5.348161e-01 1
1.498411e-05 6.633397e+08 8.633295e-02 2.886000e+01 5.344874e-01 1
1.618284e-05 7.083033e+08 9.218491e-02 2.844000e+01 5.343465e-01 1
1.747747e-05 7.435087e+08 9.676686e-02 2.804000e+01 5.342946e-01 1
1.887567e-05 7.702187e+08 1.002431e-01 2.762000e+01 5.344929e-01 1
2.038572e-05 8.044478e+08 1.046980e-01 2.718000e+01 5.351476e-01 1
2.201658e-05 8.548994e+08 1.112642e-01 2.675000e+01 5.361495e-01 1
2.377791e-05 9.147314e+08 1.190513e-01 2.635000e+01 5.372018e-01 1
2.568014e-05 9.729639e+08 1.266302e-01 2.596000e+01 5.381151e-01 1
2.773455e-05 1.014676e+09 1.320589e-01 2.558000e+01 5.390136e-01 1
2.995331e-05 1.037294e+09 1.350027e-01 2.517000e+01 5.402876e-01 1
3.234958e-05 1.063459e+09 1.384080e-01 2.473000e+01 5.424034e-01 1
3.493755e-05 1.103770e+09 1.436545e-01 2.427000e+01 5.454279e-01 1
3.773255e-05 1.149381e+09 1.495908e-01 2.381000e+01 5.492344e-01 1
4.075115e-05 1.189055e+09 1.547543e-01 2.336000e+01 5.538480e-01 1
4.401124e-05 1.221456e+09 1.589712e-01 2.290000e+01 5.595501e-01 1
4.753214e-05 1.270310e+09 1.653295e-01 2.243000e+01 5.663899e-01 1
5.133472e-05 1.326544e+09 1.726483e-01 2.199000e+01 5.739752e-01 1
5.544149e-05 1.371294e+09 1.784724e-01 2.156000e+01 5.823887e-01 1
5.987681e-05 1.413971e+09 1.840268e-01 2.113000e+01 5.919489e-01 1
6.466696e-05 1.469045e+09 1.911946e-01 2.071000e+01 6.025831e-01 1
6.984031e-05 1.519762e+09 1.977953e-01 2.031000e+01 6.140842e-01 1
7.542754e-05 1.556160e+09 2.025326e-01 1.991000e+01 6.269399e-01 1
8.146174e-05 1.592685e+09 2.072863e-01 1.952000e+01 6.415798e-01 1
8.797868e-05 1.653983e+09 2.152641e-01 1.915000e+01 6.577207e-01 1
9.501698e-05 1.723640e+09 2.243299e-01 1.880000e+01 6.742867e-01 1
1.026183e-04 1.762168e+09 2.293443e-01 1.847000e+01 6.921227e-01 1
1.108278e-04 1.809625e+09 2.355208e-01 1.814000e+01 7.117630e-01 1
1.196940e-04 1.859734e+09 2.420424e-01 1.783000e+01 7.329124e-01 1
1.292695e-04 1.911732e+09 2.488099e-01 1.754000e+01 7.556400e-01 1
1.396111e-04 1.968622e+09 2.562140e-01 1.726000e+01 7.797961e-01 1
1.507800e-04 2.022990e+09 2.632899e-01 1.700000e+01 8.052855e-01 1
1.628424e-04 2.074496e+09 2.699935e-01 1.675000e+01 8.324605e-01 1
1.758698e-04 2.128869e+09 2.770700e-01 1.652000e+01 8.611967e-01 1
1.899394e-04 2.189186e+09 2.849202e-01 1.630000e+01 8.913990e-01 1
2.051345e-04 2.248058e+09 2.925823e-01 1.609000e+01 9.230747e-01 1
2.215453e-04 2.302774e+09 2.997035e-01 1.590000e+01 9.561971e-01 1
2.392689e-04 2.368749e+09 3.082901e-01 1.572000e+01 9.906827e-01 1
2.584104e-04 2.428779e+09 3.161030e-01 1.555000e+01 1.026620e+00 1
2.790833e-04 2.491766e+09 3.243007e-01 1.540000e+01 1.063945e+00 1
3.014099e-04 2.557272e+09 3.328262e-01 1.525000e+01 1.102438e+00 1
3.255227e-04 2.627305e+09 3.419409e-01 1.511000e+01 1.142115e+00 1
3.515645e-04 2.696921e+09 3.510013e-01 1.498000e+01 1.182776e+00 1
3.796897e-04 2.769557e+09 3.604549e-01 1.486000e+01 1.224388e+00 1
4.100649e-04 2.851805e+09 3.711593e-01 1.474000e+01 1.266783e+00 1
4.428701e-04 2.927835e+09 3.810545e-01 1.463000e+01 1.309652e+00 1
4.782997e-04 3.012571e+09 3.920829e-01 1.453000e+01 1.352984e+00 1
5.165636e-04 3.099512e+09 4.033981e-01 1.443000e+01 1.396530e+00 1
5.578887e-04 3.194821e+09 4.158025e-01 1.434000e+01 1.440149e+00 1
6.025198e-04 3.302293e+09 4.297899e-01 1.425000e+01 1.483384e+00 1
6.507214e-04 3.402856e+09 4.428781e-01 1.416000e+01 1.526243e+00 1
7.027791e-04 3.519044e+09 4.579998e-01 1.407000e+01 1.568492e+00 1
7.590014e-04 3.634334e+09 4.730046e-01 1.399000e+01 1.609812e+00 1
8.197216e-04 3.769030e+09 4.905352e-01 1.390000e+01 1.649984e+00 1
8.852993e-04 3.904903e+09 5.082190e-01 1.382000e+01 1.688883e+00 1
9.561232e-04 4.050588e+09 5.271797e-01 1.373000e+01 1.726321e+00 1
1.032613e-03 4.228776e+09 5.503707e-01 1.365000e+01 1.762191e+00 1
1.115222e-03 4.385662e+09 5.707892e-01 1.356000e+01 1.795984e+00 1
1.204440e-03 4.577435e+09 5.957483e-01 1.348000e+01 1.827927e+00 1
1.300795e-03 4.783021e+09 6.225050e-01 1.339000e+01 1.857468e+00 1
1.404859e-03 4.985672e+09 6.488799e-01 1.330000e+01 1.884950e+00 1
1.517247e-03 5.208560e+09 6.778885e-01 1.321000e+01 1.910013e+00 1
1.638627e-03 5.459953e+09 7.106070e-01 1.311000e+01 1.932670e+00 1
1.769717e-03 5.730964e+09 7.458788e-01 1.302000e+01 1.952936e+00 1
1.911295e-03 6.025059e+09 7.841549e-01 1.292000e+01 1.970725e+00 1
2.064198e-03 6.347299e+09 8.260942e-01 1.283000e+01 1.986053e+00 1
2.229334e-03 6.681830e+09 8.696329e-01 1.273000e+01 1.998917e+00 1
2.407681e-03 7.033935e+09 9.154591e-01 1.263000e+01 2.009365e+00 1
2.600295e-03 7.435991e+09 9.677863e-01 1.252000e+01 2.017419e+00 1
2.808319e-03 7.865049e+09 1.023628e+00 1.242000e+01 2.023173e+00 1
3.032985e-03 8.326769e+09 1.083720e+00 1.231000e+01 2.026687e+00 1
3.275623e-03 8.828913e+09 1.149074e+00 1.221000e+01 2.028047e+00 1
3.537673e-03 9.370056e+09 1.219503e+00 1.210000e+01 2.027345e+00 0
3.820687e-03 9.963777e+09 1.296775e+00 1.200000e+01 2.024694e+00 0
4.126342e-03 1.059096e+10 1.378402e+00 1.189000e+01 2.020178e+00 0
4.456449e-03 1.127939e+10 1.468000e+00 1.179000e+01 2.013931e+00 0
4.812965e-03 1.202148e+10 1.564583e+00 1.168000e+01 2.006054e+00 0
5.198003e-03 1.282708e+10 1.669431e+00 1.157000e+01 1.996669e+00 0
5.613843e-03 1.369719e+10 1.782675e+00 1.147000e+01 1.985897e+00 0
6.062950e-03 1.464098e+10 1.905508e+00 1.137000e+01 1.973852e+00 0
6.547986e-03 1.566279e+10 2.038496e+00 1.126000e+01 1.960647e+00 0
7.071825e-03 1.676961e+10 2.182547e+00 1.116000e+01 1.946402e+00 0
7.637571e-03 1.796653e+10 2.338324e+00 1.106000e+01 1.931225e+00 0
8.248577e-03 1.926355e+10 2.507131e+00 1.097000e+01 1.915230e+00 0
8.908463e-03 2.066779e+10 2.689890e+00 1.087000e+01 1.898517e+00 0
9.621140e-03 2.218871e+10 2.887836e+00 1.078000e+01 1.881193e+00 0
1.039083e-02 2.383515e+10 3.102120e+00 1.069000e+01 1.863353e+00 0
1.122210e-02 2.561856e+10 3.334228e+00 1.060000e+01 1.845092e+00 0
1.211987e-02 2.754842e+10 3.585398e+00 1.052000e+01 1.826503e+00 0
1.308945e-02 2.963842e+10 3.857409e+00 1.044000e+01 1.807667e+00 0
1.413661e-02 3.190104e+10 4.151886e+00 1.036000e+01 1.788667e+00 0
1.526754e-02 3.435107e+10 4.470754e+00 1.028000e+01 1.769579e+00 0
1.648894e-02 3.700291e+10 4.815889e+00 1.021000e+01 1.750480e+00 0
1.780806e-02 4.011368e+10 5.220753e+00 1.014000e+01 1.731490e+00 0
1.923270e-02 4.349992e+10 5.661468e+00 1.008000e+01 1.712830e+00 0
2.077132e-02 4.715745e+10 6.137491e+00 1.002000e+01 1.694488e+00 0
2.243303e-02 5.109713e+10 6.650237e+00 9.960000e+00 1.676485e+00 0
2.422767e-02 5.539489e+10 7.209586e+00 9.910000e+00 1.658851e+00 0
2.616588e-02 6.006074e+10 7.816840e+00 9.870000e+00 1.641624e+00 0
2.825915e-02 6.506572e+10 8.468234e+00 9.830000e+00 1.624841e+00 0
3.051988e-02 7.047998e+10 9.172893e+00 9.790000e+00 1.608529e+00 0
3.296147e-02 7.651976e+10 9.958964e+00 9.760000e+00 1.592735e+00 0
3.559839e-02 8.275092e+10 1.076994e+01 9.730000e+00 1.577493e+00 0
3.844626e-02 8.966924e+10 1.167035e+01 9.700000e+00 1.562832e+00 0
