# pipeline=simple
# diagnostic=speed_of_sound_squared
# definition=c_s^2=(dP/dmu_q)/(depsilon/dmu_q) on the P>=0 branch
# units=mu_q in MeV; c_s^2 dimensionless
# m_sigma_1_mev=500.000000
# m_sigma_2_mev=600.000000
# m_sigma_3_mev=700.000000
# columns=mu_q_mev_sigma_500 c_s2_sigma_500 mu_q_mev_sigma_600 c_s2_sigma_600 mu_q_mev_sigma_700 c_s2_sigma_700
4.160e+02 3.313e-01 4.211e+02 3.295e-01 4.211e+02 3.098e-01
4.173e+02 3.313e-01 4.223e+02 3.296e-01 4.223e+02 3.112e-01
4.185e+02 3.314e-01 4.236e+02 3.298e-01 4.236e+02 3.125e-01
4.198e+02 3.314e-01 4.248e+02 3.299e-01 4.248e+02 3.138e-01
4.211e+02 3.315e-01 4.261e+02 3.300e-01 4.261e+02 3.149e-01
4.223e+02 3.315e-01 4.273e+02 3.301e-01 4.273e+02 3.160e-01
4.236e+02 3.316e-01 4.286e+02 3.302e-01 4.286e+02 3.170e-01
4.248e+02 3.316e-01 4.298e+02 3.303e-01 4.298e+02 3.179e-01
4.261e+02 3.317e-01 4.311e+02 3.304e-01 4.311e+02 3.187e-01
4.273e+02 3.317e-01 4.323e+02 3.305e-01 4.323e+02 3.195e-01
4.286e+02 3.317e-01 4.336e+02 3.306e-01 4.336e+02 3.202e-01
4.298e+02 3.318e-01 4.348e+02 3.307e-01 4.348e+02 3.209e-01
4.311e+02 3.318e-01 4.361e+02 3.308e-01 4.361e+02 3.216e-01
4.323e+02 3.319e-01 4.373e+02 3.308e-01 4.373e+02 3.222e-01
4.336e+02 3.319e-01 4.386e+02 3.309e-01 4.386e+02 3.227e-01
4.348e+02 3.319e-01 4.398e+02 3.310e-01 4.398e+02 3.233e-01
4.361e+02 3.320e-01 4.411e+02 3.311e-01 4.411e+02 3.238e-01
4.373e+02 3.320e-01 4.424e+02 3.311e-01 4.424e+02 3.242e-01
4.386e+02 3.320e-01 4.436e+02 3.312e-01 4.436e+02 3.247e-01
4.398e+02 3.321e-01 4.449e+02 3.313e-01 4.449e+02 3.251e-01
4.411e+02 3.321e-01 4.461e+02 3.313e-01 4.461e+02 3.255e-01
4.424e+02 3.321e-01 4.474e+02 3.314e-01 4.474e+02 3.258e-01
4.436e+02 3.322e-01 4.486e+02 3.314e-01 4.486e+02 3.262e-01
4.449e+02 3.322e-01 4.499e+02 3.315e-01 4.499e+02 3.265e-01
4.461e+02 3.322e-01 4.511e+02 3.315e-01 4.511e+02 3.268e-01
4.474e+02 3.322e-01 4.524e+02 3.316e-01 4.524e+02 3.271e-01
4.486e+02 3.323e-01 4.536e+02 3.316e-01 4.536e+02 3.274e-01
4.499e+02 3.323e-01 4.549e+02 3.317e-01 4.549e+02 3.276e-01
4.511e+02 3.323e-01 4.561e+02 3.317e-01 4.561e+02 3.279e-01
4.524e+02 3.323e-01 4.574e+02 3.318e-01 4.574e+02 3.281e-01
4.536e+02 3.324e-01 4.586e+02 3.318e-01 4.586e+02 3.283e-01
4.549e+02 3.324e-01 4.599e+02 3.319e-01 4.599e+02 3.285e-01
4.561e+02 3.324e-01 4.612e+02 3.319e-01 4.612e+02 3.287e-01
4.574e+02 3.324e-01 4.624e+02 3.319e-01 4.624e+02 3.289e-01
4.586e+02 3.325e-01 4.637e+02 3.320e-01 4.637e+02 3.291e-01
4.599e+02 3.325e-01 4.649e+02 3.320e-01 4.649e+02 3.292e-01
4.612e+02 3.325e-01 4.662e+02 3.321e-01 4.662e+02 3.294e-01
4.624e+02 3.325e-01 4.674e+02 3.321e-01 4.674e+02 3.295e-01
4.637e+02 3.325e-01 4.687e+02 3.321e-01 4.687e+02 3.297e-01
4.649e+02 3.325e-01 4.699e+02 3.321e-01 4.699e+02 3.298e-01
4.662e+02 3.326e-01 4.712e+02 3.322e-01 4.712e+02 3.300e-01
4.674e+02 3.326e-01 4.724e+02 3.322e-01 4.724e+02 3.301e-01
4.687e+02 3.326e-01 4.737e+02 3.322e-01 4.737e+02 3.302e-01
