# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=400.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=3.138943658406e+08
# B0_gev_fm3=4.085301464549e-02
# B_mev4=9.115287385268e+07
# B_gev_fm3=1.186344864939e-02
# B_1_4_mev=97.710805
# B_min_mev4=1.345975290658e+08
# B_min_gev_fm3=1.751772387328e-02
# B_min_1_4_mev=107.710805
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
2.128e-03 6.561e+09 8.539e-01 1.183e+01 2.120e+00 1.000e+00
2.299e-03 6.959e+09 9.057e-01 1.176e+01 2.124e+00 1.000e+00
2.482e-03 7.388e+09 9.616e-01 1.169e+01 2.127e+00 1.000e+00
2.681e-03 7.852e+09 1.022e+00 1.161e+01 2.126e+00 0.000e+00
2.896e-03 8.353e+09 1.087e+00 1.153e+01 2.123e+00 0.000e+00
3.127e-03 8.894e+09 1.158e+00 1.145e+01 2.120e+00 0.000e+00
3.377e-03 9.478e+09 1.234e+00 1.136e+01 2.112e+00 0.000e+00
3.648e-03 1.011e+10 1.316e+00 1.127e+01 2.104e+00 0.000e+00
3.939e-03 1.079e+10 1.404e+00 1.118e+01 2.094e+00 0.000e+00
4.255e-03 1.153e+10 1.500e+00 1.109e+01 2.083e+00 0.000e+00
4.595e-03 1.232e+10 1.603e+00 1.100e+01 2.071e+00 0.000e+00
4.962e-03 1.318e+10 1.715e+00 1.090e+01 2.056e+00 0.000e+00
5.359e-03 1.410e+10 1.836e+00 1.081e+01 2.041e+00 0.000e+00
5.788e-03 1.510e+10 1.966e+00 1.072e+01 2.026e+00 0.000e+00
6.251e-03 1.618e+10 2.106e+00 1.062e+01 2.008e+00 0.000e+00
6.751e-03 1.735e+10 2.258e+00 1.053e+01 1.991e+00 0.000e+00
7.292e-03 1.861e+10 2.422e+00 1.044e+01 1.973e+00 0.000e+00
7.875e-03 1.997e+10 2.599e+00 1.034e+01 1.952e+00 0.000e+00
8.505e-03 2.144e+10 2.790e+00 1.025e+01 1.933e+00 0.000e+00
9.185e-03 2.303e+10 2.997e+00 1.017e+01 1.915e+00 0.000e+00
9.920e-03 2.474e+10 3.220e+00 1.008e+01 1.894e+00 0.000e+00
1.071e-02 2.659e+10 3.461e+00 9.990e+00 1.873e+00 0.000e+00
1.157e-02 2.859e+10 3.721e+00 9.910e+00 1.853e+00 0.000e+00
1.250e-02 3.075e+10 4.002e+00 9.830e+00 1.833e+00 0.000e+00
1.350e-02 3.308e+10 4.305e+00 9.750e+00 1.812e+00 0.000e+00
1.458e-02 3.560e+10 4.633e+00 9.680e+00 1.793e+00 0.000e+00
1.574e-02 3.832e+10 4.987e+00 9.600e+00 1.771e+00 0.000e+00
1.700e-02 4.125e+10 5.369e+00 9.530e+00 1.751e+00 0.000e+00
1.836e-02 4.442e+10 5.782e+00 9.460e+00 1.731e+00 0.000e+00
1.983e-02 4.785e+10 6.227e+00 9.400e+00 1.712e+00 0.000e+00
2.142e-02 5.155e+10 6.709e+00 9.340e+00 1.694e+00 0.000e+00
2.313e-02 5.554e+10 7.229e+00 9.280e+00 1.675e+00 0.000e+00
2.498e-02 5.986e+10 7.790e+00 9.220e+00 1.655e+00 0.000e+00
2.698e-02 6.452e+10 8.397e+00 9.170e+00 1.638e+00 0.000e+00
